url,title,date,author,body
https://dev.to/lirantal/securing-a-nodejs--rethinkdb--tls-setup-on-docker-containers,Securing a Node.js + RethinkDB + TLS setup on Docker containers,2017-08-21T18:41:06Z,Liran Tal,"We use RethinkDB at work across different projects. It isn’t used for any sort of big-data applications, but rather as a NoSQL database, which spices things up with real-time updates, and relational tables support.RethinkDB features an officially supported Node.js driver, as well as a community-maintained driver as well called rethinkdbdash which is promises-based, and provides connection pooling. There is also a database migration tool called rethinkdb-migrate that aids in managing database changes such as schema changes, database seeding, tear up and tear down capabilities.We’re going to use the official RethinkDB docker image from the docker hub and make use of docker-compose.yml to spin it up (later on you can add additional services to this setup).A fair example for docker-compose.yml:The compose file mounts a local tls directory as a mapped volume inside the container. The tls/ directory will contain our cert files, and the compose file is reflecting this.To setup a secure connection we need to facilitate it using certificates so an initial technical step:Important notes:Update the compose file to include a command configuration that starts the RethinkDB process with all the required SSL configurationImportant notes:You’ll notice there isn’t any cluster related configuration but you can add them as well if you need to so they can join the SSL connection: — cluster-tls — cluster-tls-key /tls/key.pem — cluster-tls-cert /tls/cert.pem — cluster-tls-ca /tls/ca.pemThe RethinkDB drivers support an ssl optional object which either sets the certificate using the ca property, or sets the rejectUnauthorized property to accept or reject self-signed certificates when connecting. A snippet for the ssl configuration to pass to the driver:Now that the connection is secured, it only makes sense to connect using a user/password which are not the default.To set it up, update the compose file to also include the — initial-password argument so you can set the default admin user’s password. For example:Of course you need to append this argument to the rest of the command line options in the above compose file.Now, update the Node.js driver settings to use a user and password to connect:Congratulations! You’re now eligible to “Ready for Production stickers.Don’t worry, I already mailed them to your address."
https://dev.to/setevoy/neo4j-running-in-kubernetes-e4p,Neo4j: running in Kubernetes,2020-08-05T14:37:20Z,Arseny Zinchenko,"In the previous post — Neo4j: graph database — run with Docker and Cypher QL examples — we’ve run the Neo4j database with в Docker.The next task is to run it in the Kubernetes cluster.Will use the Neo4j Community Edition, which will be running as a single-node instance as cluster ability for the Neo4j is available in the Enterprise version which is costs about 190.000 USD/year.For the Community Edition, we can apply a Helm chart — neo4j-community.Add its repository:Deploy to a custom namespace, in this example, it’s eks-dev-1-neo4j.With the --set accept its license, and add values for the StorageClass of its PersistentVolume, and add a password for the administrator access:Okay -  it’s deployed, check pods:Check its PersistentVolumeClaim:Check the corresponding PersistentVolume — pay attention, that we’ve created that PVC in the dynamic way, so it has the Reclaim policy set to Delete:Now, run port-forwarding to access the Neo4j server from your workstation:Check connection:The server is ready for work.Originally published at RTFM: Linux, DevOps и системное администрирование."
https://dev.to/divyanshutomar/introduction-to-redis-3m2a,Introduction to Redis,2018-07-08T17:27:05Z,Divyanshu Tomar,"For a high traffic web service, it becomes a necessity for it to leverage some kind of caching mechanism. Caching is a way of storing computed data in memory so that future requests can be fulfilled right away. It also helps in avoiding any round trips to the data layer and computations on the application side if implemented with the right strategy. Redis and Memcached are two most popular memory-based stores available. In this post, we will explore some key concepts of Redis and go through some basic commands. Besides caching, Redis can be also used for other applications where there is a need for fast and frequent access to data.Redis is an in-memory data structure store supporting many data types like strings, hashes, sets, sorted sets, etc. Essentially, it is a key-value store.Every type of value in Redis is stored against a key that is binary safe and it can be anything from an empty string to long hash string. Every application should follow a predetermined schema for naming Redis keys to avoid any naming conflicts.Like every database, Redis contains a server for storing data in memory and clients which will execute commands against a server. For setting up the server on your local machine, I will recommend using Docker as it is easy to get started. If you have Docker daemon running on your machine, run the following command:This will run a Docker container with name local-redis on your localhost with port 6379. It uses the official Redis docker image to run the container.For the client, we can use the redis-cli for executing commands from a console on the Redis server. Open a new tab, and execute the following command to start a redis-cli session connected to local docker Redis server instance:Now we can start executing some basic Redis commands.Setting a value:Syntax: SET <key> <value> Example: SET firstname AlbertRetrieve a value:Syntax: GET <key> Example: GET firstnameCheck whether a key exists:Syntax: EXISTS <key>Deleting a key:A key can be removed along with its associated memory using: DEL <key> This is a synchronous blocking operation.A better way to remove keys will be to unlink them whose associated memory can be collected by a garbage collector later on. UNLINK <key>Setting a time to expire for key:EXPIRE <key> <seconds> PEXPIRE <key> <milliseconds>Setting a key with check for existence and expiry in one go:Syntax: SET <key> <value> <EX seconds>|<PX milliseconds> NX|XXNX - set only when a key does not exist. XX - set only when key already exists. EX - sets expire time for the key in seconds. PX - sets expire time for the key in milliseconds.Example:SET firstname Albert EX 10 NXThis will set the key firstname with string value ""Albert"" with an expiry time of 10 seconds only if the key does not exist.Increment or Decrement an integer value:Redis provides a convenient way to increment or decrement integer values that may be used as counters.Syntax: INCR <key> DECR <key> INCRBY <key> <increment value> DECRBY <key> <decrement value>Example: SET counter 4 INCRBY counter 6counter key will hold the value 4 initially, and after the second command, it will get incremented to 10.All the above mentioned commands just deal with storing and manipulating of string or integer values. There are other data structure values such as hashes, sets, bit arrays, etc. that can be used to solve complex problems.In a real-world application, you can use various programming language specific redis clients available for interacting with your Redis server from the application code.We will be writing a simple Node based application that exposes an endpoint for getting user info against an userid. A JSON file will act as our datastore to keep things as simple as possible.Now, make a redis helper file that forms an instance of the redis client connected to our Redis server. We are also writing some cache helper methods here for our route handlers.In main app file, write a route handler that accepts an userid against which the user info is to be retrieved. Next, form a unique redis key using the userid. This key will always be the same for every request for a given userid. Check for existence of this key in the Redis cache, and return the response if found.Else, we will query the data from our data source and set the response data to Redis cache before sending it back as a response.To have a look at the full code and tinker around with it, you can clone the following repository:An express application that demonstrates how redis can be utilized for caching data so that recurrent requests can be fulfilled right away.Congratulations! You have now learned the basics of Redis. If you'd like to take a deep dive, please have a look at the official redis docs.Thank you for following along and I hope this post would have been useful for you. Do follow me on Twitter to receive updates on such topics."
https://dev.to/zaiste/15-git-commands-you-may-not-know-4a8j,15 Git Commands You May Not Know,2019-03-31T19:44:16Z,Zaiste,"Using Git may be intimidating at times. There are so many commands and details to learn. The documentation, however, while being immense, is still greatly accessible. Once you overcome the initial feeling of being overwhelmed, the things will start to fall into place.Here is a list of 15 Git commands that you may not know yet, but hopefully they will help you out on a journey to master this tool.—-amend allows to append staged changes (e.g. to add a forgotten file) to the previous commit. Adding —-no-edit on top of that will amend the last commit without changing its commit message. If there are no changes, -—amend will allow you to reword the last commit message.For more: git help commit-p (or —patch) allows to interactively select parts of each tracked file to commit. This way each commit contains only related changes.For more: git help addSimilar to git-add , you can use --patch option to interactively select parts of each tracked file to stash.For more: git help stashBy default, when stashing, the untracked files are not included. In order to change that bevahiour and include those files as well you need to use -u parameter. There is also -a (—all) which stashes both untracked and ignored files altogether, which is probably something you usually won’t need.--patch can be also used to selectively discard parts of each tracked file. I aliased this command as git discardFor more: git help checkoutThis command allows you to quickly switch to the previously checked out branch. On a general note - is an alias for the previous branch. It can be used with other commands as well. I aliased checkout to co so, it becomes just git co -If you are sure that all of your local changes can be discarded, you can use . to do it at once. It is, however, a good practice to always use checkout --patch.This command shows all staged changes (those added to the index) in contrast to just git diff which only shows changes in the working directory (without those in the index).For more: git help diffIf you want to rename the currently checked out branch, you can shorten this command to the following form:For more: git help branchIn order to rename a branch remotely, once you renamed your branch locally, you need to first remove that branch remotely and then push the renamed branch again.Rebasing may lead to conflicts, the following command will open all files which need your help to resolve these conflicts.This command will show a log with changes introduced by each commit from the last two weeks.Let's say you committed a file by mistake. You can quickly remove that file from the last commit by combining rm and commit --amend commands:This command will show all branches that contain a particular commit.For more: git help gcAlthough I like CLI a lot, I highly recommend checking Magit to further step up your Git game. It is one of best pieces of software I used.There is, also, a fantastic overview of recommended Git workflows available via help command. Be sure to read it thoroughly!"
https://dev.to/alexjitbit/removing-files-from-mercurial-history-1b15,Removing files from Mercurial history,2019-04-20T16:30:22Z,Alex Yumashev,"Sometimes you need to remove files from Mercurial completely, even from the history. For instance, if you have accidentally stored a sensitive file in the repo (some password, or an access key, or a code-signing certificate etc. etc.) or committed a huge binary. Here's how you remove it:You will need the hg convert command. This command is normally used to convert an SVN/GIT repository to Mercurial, but it can also be used to ""convert"" from Mercurial to Mercurial too.The cool thing about it is the --filemap option that specifies which files should be included in the conversion process and which should not.Add this code to .hgrc to enable the extension:Make sure all your teammates have pushed their local changes to the central repo (if any)Backup your repositoryCreate a ""map.txt"" file:Then run this command:NOTE: You have to use ""forward-slash"" in paths, even on Windows.Then wait and be patient. After a while you will have a new repo at c:\newrepo just without the filesIf you have some central hg-storage you will have to ""strip"" all your changesets and then ""push"" your local repostiroy again.For instance, if you use Bitbucket like us, go to ""Admin - Strip"". Enter ""0"" into the ""Revision"" box and this will remove all commits, but the ""wiki"" and ""issues"" areas will be preserved. Then - push the local repo back to Bitbucket again.There's an important catch though - because the above procedure affects history and re-assigns new ""ids"" to all your changesets, your teammates have to reclone the repo from the central repo again."
https://dev.to/michelemauro/atlassian-sunsetting-mercurial-support-in-bitbucket-2ga9,Atlassian sunsetting mercurial support in BitBucket,2019-08-23T20:51:49Z,michelemauro,"(I didn't expect to start writing here with a text like this. But since I'm looking for longer opinions that those that can be found on twitter, I thought it would be a good place to start, and a good topic to talk about.)The headline came to me via whatsapp from an ex-colleague: Atlassian sunsetting mercurial support in BitBucket. That was really a hard hit.For those who don't know, Mercurial was one of the first really distributed Distributed Version Control System that really took traction: it was started in 2005, and it is still heavily used: Mozilla, Vim and OpenJDK are some high-profile projects that host multiple years of development, and millions of lines of code in hg repositories.I started using Mercurial before git ever became mainstream, and because I was working with some colleagues outside the main office: we needed to collaborate on the same sources and, in that setting, we couldn't reach our central CVS. The ease of use of passing around ""boundles"" of commits, the simple commands and the almost impossibility of losing history made it possible to work for many months without even a central server, just passing files via skype.It was no match for what Git was at that time (early 2007): something Linus whipped up in a couple of weeks, not too stable, still optimized for the Linux use case and adventurous to use outside of it. Mercurial was already stable, well supported on windows, too, with a clear and well-thought model that was easy to understand and use.Twelve years later, git is still making releases with new commands to clarify and simplify some use cases, while Mercurial releases are about technology updates and new features. You can easily find (and probably need) tons of tutorials on how to use git and how to understand its peculiar concepts (like of course the excellent one here on DEV); meanwhile, every colleague I exposed to mercurial never needed any special training nor never lost work because of a detached head or a push in the wrong branch, no matter its previous level of expertise.Finally, in the last three-four years, the ""GitOps"" methods fueled the exponential growth of Git integrations, and we're now stuck in VHS land. Atlassian, of course, has a bottom line to keep in check and finally came to the conclusion that BitBucket is supporting one VCS too many, and the one used by ""1% of the users"" has to go. The irony of BitBucket being the first commercial solution for Mercurial is, of course, only adding sadness to this story.The options that Atlassian proposes are really underwhelming: a yet-to-be automated conversion service, some self-hosted pointers (Heptapod and Kallithea seem to be the most interesting; but they are a far cry from a supported commercial service with more than 10 years of experience), or do-it-yourself. And don't expect to keep PRs, comments, issues, metadata: no export path for them, nor conversion of project structure. When Atlassian pulls the plug in mid-2020, they'll be gone.That's a sad, sad turn of the story that will harm a really good project, a true Betamax of the VCS space.I wish however to thank a lot the original BitBucket team, that in 2008 believed in Mercurial and started its journey. Atlassian, while can be understood as a business entity, is still struggling in executing major moves like these while minimizing bad publicity and juggling worse karma; meme writers will just have more things to poke fun at.Of course, the main lesson here is, for the n-th time, be careful what you put on a cloud service. And you, what do you have on a cloud service? what part of the information about your projects (issues, discussions, decisions, permissions, people) will you be able to offload, reuse and recycle if your current provider pulls the plug on its service or part of it?"
https://dev.to/shirou/back-up-prometheus-records-to-s3-via-kinesis-firehose-54l4,Back up prometheus records to s3 via kinesis firehose,2017-12-23T08:07:19Z,WAKAYAMA shirou,"Because prometheus has not for long term storage, it will be erased at appropriate intervals. For long term data store, it would be preserved as being influxdb. However, AWS S3 is more easy place to manage.AWS Kinesis firehose has came to the Tokyo region in July 2017. By using kinesis firehose, we can automatically save records in S3.So I implemented a remote write adapter integration of prometheus which can sends records to Kinesis.https://github.com/shirou/prometheus_remote_kinesisThis is just for evaluation and not deployed to production, there may be some problems.It is necessary to build with go, but I omit it. It is easy to use multi stage build with Docker.Of course, you should set AWS credentials.I also put it in the docker hub.https://hub.docker.com/r/shirou/prometheus_remote_kinesis/It should start with such feeling.Set the remote write setting of prometheus.yml as follows. It is important to add a - before the url to make it a sequence.The settings of kinesis and kinesis forehose are omitted.The setting is over with the above. As time goes on the logs are generated more and more in s3.The data sent to kinesis was made into JSON format like this.In Timeseries of prometheus, multiple samples can be stored for one records. However, since I do not want to increase the hierarchy much, I flatten it so that I create one record for each sample. As it was impossible to truly label, it is on the map. In addition, it assumes use from Athena or S3 SELECT, and it makes it with new line (JSON-LD). I tried to send it to kinesis with gzip compressed, but I removed currently because my t2.small uses a CPU too much. In addition, it sends it by PutRecords by every 500 records. As it will be buffered, it may be lost if remoe_kinesis die. Graceful shutdown is implemented, though.Since the write request from prometheus comes with snappy compression + protobuf, it may be the fastest way to transfer to kinesis with its byte sequence as it is, but this will be difficult to handle it later .I created remote storage integration to save to s3 via AWS Kinesis for long term log preset of prometheus.I have not deployed to production environment, so there may be problems. Another problem is reading from S3. But it is just a plain JSON format, I think it is easy to convert if necessary. Although it is possible to read directory from promehteus with remote read storage integration, but it probably not good performance.Oh, AlpacaJapan is recruiting highly acclaimed people who will do this around. Please contact Twitter @r_rudi"
https://dev.to/ionic/farewell-phonegap-reflections-on-my-hybrid-app-development-journey-10dh,"Farewell, PhoneGap: Reflections on my Hybrid App Development Journey",2020-08-13T12:13:56Z,Ionic,"Adobe has officially announced the shutdown of PhoneGap and PhoneGap Build.In the context of the hybrid app development world, this is the end of an era. It's certainly the case for me: it sped up my transition from .NET to web development, and ultimately led to me landing a wonderful role at Ionic. A heartfelt thanks to the team(s) at Adobe and those in the community who supported me along the way!PhoneGap has had such a positive impact on my career. Here's my hybrid app development journey.It was 2010, and I had just bought my first smartphone - a clunky Android device. I was .NET developer building tools and WinForm desktop apps for a SaaS company. That was fun, but my work was only used by a handful of corporate clients. This Android phone had potential - I could build an ""app"" and reach anyone in the world via the app marketplaces? Sign me up!I learned Java in college, so Android development was the obvious choice to learn. I bought a beginner Android book, ""Hello, Android"", and got to work. The dev experience was brutal to say the least. Between confusing Eclipse IDE errors and trying to understand the ins and outs of mobile development, I almost gave up multiple times.I pushed through, and in February 2011 released the app. Frustrated that Netflix movies would expire and be removed from my instant queue without notice, I explored my options. I discovered that Netflix had an open API, and while not used on the site, every movie was assigned a ""movie availability"" (expiration) date!FixMyQ was born: it displayed each movie in your Instant Queue along with its expiration date. Optionally, with one button tap, you could rearrange your entire queue by the movies expiring next. In practice, after deciding to watch something on Netflix, you could pull up my app first then pick based on what was expiring soonest:Despite being super ugly (ha), the app worked quite well and was decently popular.The app was doing well, but I was missing out on a huge audience: iOS users. I quickly realized that targeting iOS meant that I had to completely rewrite the app - yikes! Fortunately, there was another way: PhoneGap.Through my day job work and attending developer conferences, I noticed this thing called ""JavaScript"" was skyrocketing in popularity. I began to actively seek out opportunities at work to use it - landing on ASP.NET MVC, jQuery, and Knockout.js. I don't remember exactly how I found PhoneGap, but I loved the idea of ""write once, run everywhere"": targeting web, iOS, and Android with one code base.Additionally, their beliefs, goals, and philosophy really struck a chord. The team recognized that the web was not a first class development platform, but they fully believed it could be, laying out a strong vision for its future.What really stood out at the time (and still does) was this line:""The ultimate purpose of PhoneGap is to cease to exist.""To this day, I've yet to see another project put that front and center! It made sense, though: they were committed to the ""standardization of the web as a platform.""I was convinced and started building FixMyQ for iOS using PhoneGap 1.2.0. Unfortunately, I didn't get very far: Netflix deprecated then eventually shut down their open API - effectively killing the app. It was a great first mobile app project though and made for a fun retrospective.(Not so) hilariously, in 2020 Netflix still acts like movies don't expire. C'mon, Netflix!Despite shutting down my first app, I was excited by PhoneGap's potential and got to work right away on a new app idea. Work had just bought everyone a Fitbit device. I was also in the WeightWatchers program, so I wondered what it would take to integrate them together. A few months later, Fitwatchr was born and thanks to PhoneGap, I created iOS, Android, and Windows Phone apps all from one code base:Besides improving my web development skills, Fitwatchr was my first foray into becoming somewhat of an entrepreneur: in order to improve app sales, I learned so much about marketing, sales, and product development, ultimately earning thousands of dollars over a ~5 year timespan. As the app started making waves, I partnered with my good friend David Lapekas for design and marketing help - he was absolutely critical to my apps' success.You might say I was ""hooked on hybrid!""My next app scratched another itch. I love craft beer and had gotten really into tracking beer tastings with Untappd (another PhoneGap/Cordova - and later, Ionic Framework - app!). Their app was great, but didn't work well in offline scenarios (such as beer festivals or inside crowded brewery tasting rooms) where cell service was weak or wifi non-existent. With BeerSwift, you can queue up the beers you're drinking, rate them, then check them all into Untappd with one button tap (once you're back online):These apps were so much fun to build. I worked on them during the days of Angular 1, but was honestly scared off by how complex it seemed. So instead, I opted for a simpler stack: Vanilla HTML/CSS/JavaScript paired with jQuery, KendoUI Mobile for UI components, and Knockout.js for declarative bindings and automatic UI refresh.As you can tell from those screenshots, the apps look much better than my original Android app, but the UI still has some rough edges. Someday I'll rewrite them using Ionic Framework UI components...While PhoneGap makes it easy to create an app that runs on all platforms, in practice managing each platform is challenging, especially as a solo developer. There are nuances to each one as well as headaches with security profiles and certificates (cough cough iOS!). Enter Adobe's PhoneGap Build service, which let you build your PhoneGap-based Android, iOS, and Windows Phone apps in the cloud. It was incredibly successful as one of the early attempts at Mobile CI/CD since you could avoid wrestling with the challenges of native IDEs and tooling. Everyone in the PhoneGap community embraced it: solo devs, teams, and large companies.After gaining lots of experience with the service, I began sharing various tips and tricks on my personal blog. I'm particularly proud of the ""Cut Your PhoneGap Build App Size In Half With This One Weird Trick!"" post - one of my first attempts at ""marketing."" 😂It was rewarding to share what I'd learned with the community. I kept plugging away on both app development and blogging. From there, I decided to give public speaking a try, presenting a talk on hybrid app development at That Conference 2014.By 2015, hybrid app development had become far less niche and I had built up a lot of experience with several successful apps under my belt. I looked for my next challenge and settled on creating a video course on PhoneGap Build. With only a small blog audience, I turned to Pluralsight. I was a long-time fan - they are known for their high quality courses and popular authors. After a brief audition, I was in! You can read about that 2 year journey (yeah) here. It was incredibly challenging with lots of ups and downs, but in the end, I pulled it off.So unbelievably stoked! A long journey comes to an end. My @pluralsight course has been released! Cheers to a wonderful editorial team and @nursingaround 's support. #PhoneGap #Cordova #MobileDevA post shared by Matt Netkow (@dotnetkow ) on Jul 11, 2017 at 8:53pm PDTThe Pluralsight course was not a major hit by any means, but it was definitely a personal success: I learned basic video editing and production, and improved my writing and speaking skills along the way - all skills I would eventually use regularly in my DevRel role at Ionic.At some point during the development of my PhoneGap apps, I became frustrated trying to create the variety of icons and splash screens. Besides the act of creating them (I'm certainly no designer!), generating them for each platform and dimension was tedious. I'm not entirely sure, but I believe this was the first time I learned about Ionic: I stumbled upon a blog post of theirs on automating icon/splash screen generation.I created an Ionic account just to generate those images for free with the Ionic CLI (they were originally built in the cloud). Thanks, Ionic! 😬Little did I know where I'd end up someday...As part of the efforts to promote my PhoneGap Build Pluralsight course, I reached out to the PhoneGap team and asked about writing a post for the official blog. They graciously accepted, no doubt largely due to my course and personal PhoneGap blog posts, so I wrote ""Hybrid Mobile Apps are Overtaking Native."" This was a fun one: I covered the most popular concerns about hybrid app development from a fresh 2017 perspective: performance, design, frameworks, and tooling.By then, I was a regular reader of the Ionic blog and used (borrowed?) an image of theirs for the post (Thanks again, Ionic!). It was well received and led to a bunch of native developers leaving many ""spirited"" comments. Ha!Later, after the iPhone X was released, I struggled to update my PhoneGap apps to support the infamous ""notch."" I eventually figured out a general solution then wrote another guest post for the PhoneGap blog. To date, ""Displaying a PhoneGap App Correctly on the iPhone X"" is my highest viewed piece of writing ever with over 223,000 views (the notch still confuses developers to this day!).My final post for the PhoneGap blog, ""PhoneGap Devs: It’s Time to Embrace a UI Framework"" was a clear call to action to the community: pick a UI framework so that you can focus on building your app instead of dealing with various mobile issues (like the iPhone notch!). By that time, I was working for Ionic so naturally the article focused on the Ionic Framework.Huge thanks to the PhoneGap team for allowing me to guest on the blog!By the time 2018 rolled around, I was even deeper into web development, working regularly with Angular 2 and .NET Core at my day job. Angular, while initially challenging to learn, was a breathe of fresh air compared to my now-aging ""PhoneGap stack.""One night, I saw a tweet from the Ionic team:Calling all product champions! Do you have a technical background, but enjoy being the face and voice of the product, rather than sitting behind the scenes? Ionic is looking for a Senior Product Evangelist to join the team! Position can be remote! https://t.co/lHQo6OHrcJThe timing was simply incredible: at that moment I was taking a break from packing up my apartment. I planned to move back to Madison, Wisconsin that Summer, where Ionic headquarters is located. Leveraging my PhoneGap guest blog posts, Pluralsight course, and hybrid app experience, I landed the role as a Product Evangelist/Developer Advocate. See the full story here.When I started building PhoneGap apps, I had no idea what it would lead to. Hybrid app development has been such an incredibly rewarding career path. After years of hard work, some luck along the way, and support from an amazing community, I'm grateful to work on hybrid app development fulltime now, and for such an awesome company as Ionic.So as you can see, PhoneGap changed my life for the better. I owe a lot of my career to this amazing technology and the people that built it. But enough about me. 😀Did PhoneGap succeed in its mission to make the web platform a first-class citizen?""We believe in a web open to everyone to participate however they will. No locked doors. No walls.""Broadly speaking, PhoneGap absolutely succeeded: as pioneers of hybrid app development, they ""solved"" cross-platform app development challenge while also being incredibly influential in making the web a first-class development platform.In the time since it was created - over 12 years ago - we've seen the web platform explode in popularity: the vast majority of developers are web developers and many folks new to software development learn web dev first since it's so accessible and open.Sure, the web platform isn't perfect, but it's come a long way and will continue to evolve. It has matured a lot over the past few years, from modern JavaScript (ES6 and beyond) to package managers like npm, to built-in cross-platform browser APIs that provide rich user experiences, to the rise of Progressive Web Apps (PWAs) that fill the ""gap"" in ""PhoneGap.""Now, all of us at Ionic are ready to carry the torch as the modern leader of cross-platform hybrid app development. Our native runtime tool Capacitor, as a spiritual successor to PhoneGap, offers a modern, web-first approach to hybrid and is backward compatible with PhoneGap.Thank you to Adobe and the PhoneGap team for their hard work over the years and helping so many developers embrace web development. Long live the web platform!"
https://dev.to/rootsami/rancher-kubernetes-on-openstack-using-terraform-1ild,Rancher Kubernetes on Openstack using Terraform,2020-05-27T03:33:00Z,Sami Alhaddad,"In this article we will walk through creating complete infrastructure pieces on OpenStack that are needed to have a fully provisioned Kubernetes cluster using Terraform and Rancher2. In addition to integration with cloud-provider-openstack and cinder-csi-pluginRKE configuration can be adjusted and customized in rancher2.tf, you can check the provider documentation at rancher_cluster NOTE: It is really important to keep kubelet extra_args for the external cloudprovider in order to integrate with cloud-provider-openstackRun terraform init to initialize a working directory containing Terraform configuration files.To apply the creation of the environment, Run terraform apply --auto-approve and wait for the output after all resources finish the creationUp to this point, use the rancher_url from above output and login to rancher instance with username admin and password defined in rancher_admin_password. Wait for all kubernetes nodes to be discovered, registered, and active.As you may notice, that all the nodes have a taint node.cloudprovider.kubernetes.io/uninitialized. The usage of --cloud-provider=external flag to the kubelet makes it waiting for the clouder-provider to start the initialization. This marks the node as needing a second initialization from an external controller before it can be scheduled work.Up to this point, openstack-cloud-controller-manager and cinder-csi-plugin have been deployed, and they're able to obtain valuable information such as External IP addresses and Zone info.Also, as shown in the nodes tab, All nodes are active and labeled by openstack zones.When it comes to scalability with IaaC (infrastructure-as-a-code), it becomes so easy to obtain any desired state in less consumed efforts and time. All you have to do is to change the number of nodes count_master or count_worker_nodes and run terraform apply again For example, let's increase the number of count_worker_nodes by 1 A few minutes later, after refreshing states and applying updates:Couple of minutes for the new node to be registeredNOTE: Scaling down the cluster could be made by decreasing the number of nodes in terrafrom.tfvars. Node gets deleted, moreover cloud-provider-openstack detects that and removes it from the clusterTo clean up all resources created by this terraform, Just run terraform destroyTerraform manifests to create e2e production-grade Kubernetes cluster on top of cloud providersThis repo is intended to be for creating complete infrastructure pieces on OpenStack that are needed to have a fully provisioned Kubernetes cluster using Terraform and Rancher2. In addition to integration with cloud-provider-openstack"
https://dev.to/jignesh_simform/comparing-mongodb--mysql-bfa,Comparing MongoDB & MySQL,2017-12-05T12:19:07Z,Jignesh Solanki,"Imagine finding a DBMS that aligns with tech goals of your organization. Pretty exciting, right?Relational databases held the lead for quite a time. Choices were quite obvious: MySQL, Oracle or MS SQL, to mention a few. Though times have changed pretty much with the demand for more diversity and scalability, haven't they?There are many alternatives in the market to choose from, though I don’t want you to get all confused again. So how about a faceoff between two dominant solutions that are close in popularity?MongoDB vs MySQL?Both of these are some of the most popular open-source database software.On that note, let’s get started.One of the best things about MongoDB is that there are no restrictions on schema design. You can just drop a couple of documents within a collection and it isn’t necessary to have any relations between those documents. The only restriction with this is supported data structures.But due to the absence of joins and transactions (which we will discuss later), you need to frequently optimize your schema based on how the application will be accessing the data.Before you can store anything in MySQL, you need to clearly define tables and columns, and every row in the table should have the same column.And because of this, there isn’t much space for flexibility in the manner of storing data if you follow normalization.For example, if you run a bank, its information can be added to the table named ‘account’ as follows:This is how MySQL stores the data. As you can see, the table design is quite rigid and it is not easily changeable. MongoDB stores the data in the JSON type manner as described below:Such documents can be stored in a collection as well.MongoDB creates schemaless documents which can store any information you want though it may cause problems with data consistency. MySQL creates a strict schema-template and hence it is bound to make mistakes.MongoDB uses an unstructured query language. To build a query in JSON documents, you need to specify a document with properties you wish the results to match.It is typically executed using a very rich set of operators that are linked to each other using JSON. MongoDB treats each property as having an implicit boolean AND. It natively supports boolean OR queries, but you must use a special operator ($or) to achieve it.MySQL uses the structured query language SQL to communicate with the database. Despite its simplicity, it is indeed a very powerful language which consists mainly of two parts: data definition language (DDL) and data manipulation language (DML).Let’s have a quick comparison.MongoDB doesn’t support JOIN — at least, it has no equivalent. On the contrary, it supports multi-dimensional data types such as arrays and even other documents. The placement of one document inside another is known as embedding.One of the best parts about MySQL is the JOIN operations. To put it in simple terms, JOIN makes the relational database relational. JOIN allows the user to link data from two or more tables in a single query with the help of single SELECT command.For example, we can easily obtain related data in multiple tables using a single SQL statement.This should provide you with an account number, first name, and the respective branch.One single main benefit it has over MySQL is its ability to handle large unstructured data. It is magically faster because it allows users to query in a different manner that is more sensitive to workload.Developers note that MySQL is quite slower in comparison to MongoDB when it comes to dealing with large databases. It is unable to cope with large and unstructured amounts of data.As such, there is no “standard” benchmark that can help you with the best database to use for your needs. Only your demands, your data, and infrastructure can tell you what you need to know.Let’s look at a general example to understand the speed of MySQL and MongoDB in accordance with various functions.Measurements have been performed in the following cases:MySQL 5.7.9MongoDB 3.2.0Each of these has been tested on a separate m4.xlarge Amazon instance with Ubuntu 14.4 x64 and default configurations; all tests were performed for 1,000,000 records.It is evident from the above graph that MongoDB takes way more lesser time than MySQL for same commands.MongoDB uses a role-based access control with a flexible set of privileges. Its security features include authentication, auditing, and authorization.Moreover, it is also possible to use Transport Layer Security (TLS) and Secure Sockets Layer (SSL) for encryption purposes. This ensures that it is only accessible and readable by the intended client.MySQL uses a privilege-based security model. This means it authenticates a user and facilitates it with user privileges on a particular database such as CREATE, SELECT, INSERT, UPDATE, and so on.But it fails to explain why a given user is denied specific access. On the transport layer, it uses encrypted connections between clients and the server using SSL.When to Use MongoDB or MySQL? This infographic explains when you'd use MongoDB over MySQL and vice versa.To answer the question, “Why I should use X over Y?” you need to take into consideration your project goals and many other things.MySQL is highly organized for its flexibility, high performance, reliable data protection, and ease of managing data. Proper data indexing can resolve your issue with performance, facilitate interaction and ensure robustness.But if your data is not structured and complex to handle, or if predefining your schema is not coming easy for you, you should better opt for MongoDB. What’s more, if you're required to handle a large volume of data and store it as documents, MongoDB will help you a lot!The result of the faceoff: One isn’t necessarily better than the other. MongoDB and MySQL both serve in different niches.We have published an updated version of this post here MongoDB vs MySQL: A Comparative Study on Databases. If you've more suggestions up your sleeve, kindly comment."
